2021-08-01 13:56:05 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.investigacionyciencia.es/revistas/investigacion-y-ciencia/numero/202/donde-el-ncleo-limita-con-el-manto-5045
2021-08-01 13:56:10 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://portalcomunicacion.uah.es/diario-digital/reportaje/el-movimiento-terraplanista-confirma-la-perdida-del-prestigio-social-de-la-ciencia-segun-el-profesor-cabos-de-la-uah.html
2021-08-01 13:56:12 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://local12.com/news/local/ohio-house-passes-bill-allowing-student-answers-to-be-scientifically-wrong-due-to-religion
2021-08-01 13:56:13 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://hipertextual.com/2020/08/google-ayudara-detectar-terremotos-android
2021-08-01 13:56:14 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://recursos.cnice.mec.es/biosfera/alumno/1bachillerato/estrucinternatierra/index.htm
2021-08-01 13:56:15 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://recursos.cnice.mec.es/biosfera/alumno/1bachillerato/estrucinternatierra/contenido2.htm
2021-08-01 13:56:15 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.educa.madrid.org/web/ies.alonsoquijano.alcala/carpeta5/carpetas/quienes/departamentos/ccnn/CCNN-1-2-ESO/2eso/2ESO-12-13/Bloque-II/Tema-1-Energia-interna-Tierra-I/Tema-1-E-I-Tierra-I.htm
2021-08-01 13:56:15 WARNING  [146]URLUtils.py: Error reading URL: http://www.educa.madrid.org/web/ies.alonsoquijano.alcala/carpeta5/carpetas/quienes/departamentos/ccnn/CCNN-1-2-ESO/2eso/2ESO-12-13/Bloque-II/Tema-1-Energia-interna-Tierra-I/Tema-1-E-I-Tierra-I.htm : Not Found
2021-08-01 13:56:15 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.librosvivos.net/smtc/homeTC.asp?TemaClave=1187&idIdioma=ES
2021-08-01 13:56:16 WARNING  [146]URLUtils.py: Error reading URL: http://www.librosvivos.net/smtc/homeTC.asp?TemaClave=1187&idIdioma=ES : Not Found
2021-08-01 13:56:16 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://bioprofe4.blogspot.com.es/search/label/TECT%C3%93NICA%20DE%20PLACAS
2021-08-01 13:56:17 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://es.wikipedia.org/wiki/James_Ussher
2021-08-01 13:56:19 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://algoquedaquedecir.blogspot.com/2017/11/la-tierra-es-plana-y-yo-tengo-un-dragon.html
2021-08-01 13:56:20 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.lavozdegalicia.es/noticia/sociedad/2018/12/30/descubrio-edad-tierra/0003_201812H30P51991.htm
2021-08-01 13:56:21 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://es.quora.com/C%C3%B3mo-se-determina-la-edad-de-la-Tierra
2021-08-01 13:56:22 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.imdb.com/title/tt1537761/
2021-08-01 13:56:24 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.youtube.com/watch?v=cpyQRzx5exg
2021-08-01 13:56:24 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.imdb.com/title/tt2914058/
2021-08-01 13:56:26 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.youtube.com/watch?v=B-m1gx0s0Ro
2021-08-01 13:56:27 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.imdb.com/title/tt0082484
2021-08-01 13:56:29 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.imdb.com/title/tt0090848/
2021-08-01 13:56:32 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.youtube.com/watch?v=P0giXTjclyQ
2021-08-01 13:56:33 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.youtube.com/watch?v=Jno9DqbVDdY
2021-08-01 13:56:34 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.youtube.com/watch?v=reeWIckqbUw
2021-08-01 13:56:34 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.elmundo.es/papel/lideres/2016/10/30/58121c89468aebbe468b4585.html
2021-08-01 13:56:34 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://culturacientifica.com/2016/10/02/la-historia-la-vida/
2021-08-01 13:56:36 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://elpais.com/elpais/2016/09/21/ciencia/1474454952_783786.html
2021-08-01 13:56:37 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.elmundo.es/elmundo/2013/10/17/ciencia/1382029806.html
2021-08-01 13:56:37 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://elpais.com/diario/2008/01/10/sociedad/1199919603_850215.html
2021-08-01 13:56:39 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.desdeelexilio.com/2009/01/14/el-origen-de-la-vida-entrevista-a-robert-shapiro/
